,casos_3304557,casos_est_3304557,casos_est_min_3304557,casos_est_max_3304557,p_rt1_3304557,p_inc100k_3304557,temp_min_3304557,temp_max_3304557,umid_min_3304557,pressao_min_3304557
2011-02-27,1958,1958.0,1958,1958.0,0.8805186,29.0168,24.428571428571427,33.57142857142857,36.42857142857143,1007.8571428571429
2011-03-06,2054,2054.0,2054,2054.0,0.7591824,30.439484,22.428571428571427,26.714285714285715,62.714285714285715,1010.8571428571429
2011-03-13,3515,3515.0,3515,3515.0,1.0,52.090935,23.0,28.571428571428573,61.857142857142854,1008.7142857142857
2011-03-20,5536,5536.0,5536,5536.0,1.0,82.041374,22.857142857142858,30.142857142857142,49.285714285714285,1009.1428571428571
2011-03-27,6160,6160.0,6160,6160.0,1.0,91.28881,22.857142857142858,30.571428571428573,52.57142857142857,1011.7142857142857
2011-04-03,7457,7457.0,7457,7457.0,1.0,110.50985,23.0,29.285714285714285,54.42857142857143,1010.1428571428571
2011-04-10,6303,6303.0,6303,6303.0,0.926964,93.40801,21.857142857142858,29.0,53.57142857142857,1011.8571428571429
2011-04-17,5379,5379.0,5379,5379.0,0.0,79.71469,23.285714285714285,32.285714285714285,47.857142857142854,1011.7142857142857
2011-04-24,5953,5953.0,5953,5953.0,0.0008728866,88.22115,22.428571428571427,31.571428571428573,40.285714285714285,1012.4285714285714
2011-05-01,4862,4862.0,4862,4862.0,0.0,72.052956,20.428571428571427,27.571428571428573,56.0,1013.4285714285714
2011-05-08,4472,4472.0,4472,4472.0,0.0,66.27331,20.428571428571427,27.285714285714285,48.142857142857146,1013.5714285714286
2011-05-15,3566,3566.0,3566,3566.0,0.0,52.846737,19.857142857142858,25.428571428571427,55.57142857142857,1013.4285714285714
2011-05-22,2674,2674.0,2674,2674.0,0.0,39.627644,17.428571428571427,23.857142857142858,55.0,1017.0
2011-05-29,2236,2236.0,2236,2236.0,0.0,33.136654,17.142857142857142,25.714285714285715,44.285714285714285,1016.2857142857143
2011-06-05,1393,1393.0,1393,1393.0,0.0,20.643719,17.714285714285715,24.571428571428573,48.285714285714285,1015.7142857142857
2011-06-12,1043,1043.0,1043,1043.0,0.0,15.456855,15.571428571428571,24.142857142857142,44.42857142857143,1013.7142857142857
2011-06-19,655,655.0,655,655.0,0.0,9.706846,16.0,25.0,41.57142857142857,1018.0
2011-06-26,534,534.0,534,534.0,0.0,7.913673,18.0,27.0,47.142857142857146,1013.8571428571429
2011-07-03,371,371.0,371,371.0,0.0,5.498076,16.428571428571427,24.285714285714285,51.714285714285715,1014.8571428571429
2011-07-10,310,310.0,310,310.0,8.881784e-16,4.5940795,14.571428571428571,21.285714285714285,53.0,1017.8571428571429
2011-07-17,233,233.0,233,233.0,3.539391e-12,3.4529696,16.285714285714285,28.142857142857142,33.285714285714285,1014.7142857142857
2011-07-24,210,210.0,210,210.0,3.0378642e-06,3.1121185,18.571428571428573,25.571428571428573,51.57142857142857,1018.5714285714286
2011-07-31,156,156.0,156,156.0,1.4526928e-06,2.3118594,17.0,27.571428571428573,34.0,1013.8571428571429
2011-08-07,166,166.0,166,166.0,0.020438634,2.4600556,16.857142857142858,25.142857142857142,44.142857142857146,1013.7142857142857
2011-08-14,161,161.0,161,161.0,0.20793884,2.3859575,18.142857142857142,28.0,43.42857142857143,1013.7142857142857
2011-08-21,119,119.0,119,119.0,0.0052167173,1.7635338,18.857142857142858,29.0,31.142857142857142,1012.8571428571429
2011-08-28,116,116.0,116,116.0,0.021499924,1.719075,18.285714285714285,25.857142857142858,50.714285714285715,1017.5714285714286
2011-09-04,149,149.0,149,149.0,0.84182155,2.2081223,17.142857142857142,27.142857142857142,30.428571428571427,887.0
2011-09-11,152,152.0,152,152.0,0.9175067,2.2525811,17.428571428571427,28.285714285714285,38.42857142857143,1012.4285714285714
2011-09-18,209,209.0,209,209.0,0.999806,3.0972989,17.857142857142858,24.285714285714285,47.0,1020.8571428571429
2011-09-25,241,241.0,241,241.0,0.99988,3.5715265,17.714285714285715,26.714285714285715,38.57142857142857,1014.7142857142857
2011-10-02,230,230.0,230,230.0,0.9299525,3.4085107,18.571428571428573,29.142857142857142,35.142857142857146,1013.8571428571429
2011-10-09,262,262.0,262,262.0,0.9515523,3.8827384,20.285714285714285,28.0,44.285714285714285,1013.5714285714286
2011-10-16,249,249.0,249,249.0,0.67657226,3.6900833,21.428571428571427,29.142857142857142,52.0,1006.7142857142857
2011-10-23,321,321.0,321,321.0,0.9981386,4.7570953,18.142857142857142,23.714285714285715,53.42857142857143,886.8571428571429
2011-10-30,318,318.0,318,318.0,0.9735164,4.7126365,21.0,31.142857142857142,36.714285714285715,1007.7142857142857
2011-11-06,411,411.0,411,411.0,0.9999761,6.0908604,16.857142857142858,23.714285714285715,46.714285714285715,1017.0
2011-11-13,368,368.0,368,368.0,0.8667201,5.453617,21.0,29.0,42.714285714285715,1011.2857142857143
2011-11-20,601,601.0,601,601.0,1.0,8.906587,19.857142857142858,24.857142857142858,57.714285714285715,1009.2857142857143
2011-11-27,620,620.0,620,620.0,0.99999994,9.188159,21.571428571428573,28.0,51.57142857142857,1009.0
2011-12-04,827,827.0,827,827.0,1.0,12.255819,20.571428571428573,27.571428571428573,50.285714285714285,1009.4285714285714
2011-12-11,962,962.0,962,962.0,1.0,14.256467,22.142857142857142,28.0,57.0,1008.4285714285714
2011-12-18,867,867.0,867,867.0,0.9640889,12.848603,22.714285714285715,31.142857142857142,43.57142857142857,1005.5714285714286
2011-12-25,776,776.0,776,776.0,0.009126432,11.500019,23.142857142857142,34.142857142857146,33.142857142857146,1008.5714285714286
2012-01-01,1334,1334.0,1334,1334.0,1.0,19.769361,21.875,27.125,61.125,1009.875
2012-01-08,1378,1378.0,1378,1378.0,1.0,20.421425,21.714285714285715,28.714285714285715,53.857142857142854,1009.5714285714286
2012-01-15,1739,1739.0,1739,1739.0,1.0,25.771305,23.142857142857142,31.428571428571427,44.714285714285715,1011.1428571428571
2012-01-22,2018,2018.0,2018,2018.0,1.0,29.905977,23.428571428571427,32.0,44.857142857142854,1010.2857142857143
2012-01-29,2184,2184.0,2184,2184.0,1.0,32.36603,22.142857142857142,29.714285714285715,51.0,1010.0
2012-02-05,2762,2762.0,2762,2762.0,1.0,40.931767,21.714285714285715,32.0,38.57142857142857,1011.2857142857143
2012-02-12,3269,3269.0,3269,3269.0,1.0,48.445312,23.857142857142858,33.714285714285715,33.714285714285715,1007.5714285714286
2012-02-19,3848,3848.0,3848,3848.0,1.0,57.025867,23.0,31.428571428571427,40.42857142857143,883.4285714285714
2012-02-26,5539,5539.0,5539,5539.0,1.0,82.08583,23.571428571428573,33.714285714285715,32.42857142857143,1007.8571428571429
2012-03-04,6763,6763.0,6763,6763.0,1.0,100.22504,24.285714285714285,34.0,33.57142857142857,1010.1428571428571
2012-03-11,6949,6949.0,6949,6949.0,1.0,102.98148,22.571428571428573,31.0,40.0,1013.5714285714286
2012-03-18,8791,8791.0,8791,8791.0,1.0,130.2792,23.142857142857142,31.571428571428573,34.714285714285715,1011.0
2012-03-25,9424,9424.0,9424,9424.0,1.0,139.66002,23.0,31.285714285714285,44.142857142857146,879.5714285714286
2012-04-01,9664,9664.0,9664,9664.0,1.0,143.21674,22.285714285714285,29.428571428571427,53.714285714285715,1010.7142857142857
2012-04-08,12474,12474.0,12474,9664.0,1.0,184.85983,23.0,30.571428571428573,52.42857142857143,1009.2857142857143
2012-04-15,14686,14686.0,14686,9664.0,1.0,217.64082,22.857142857142858,32.142857142857146,41.142857142857146,1011.7142857142857
2012-04-22,14666,14666.0,14666,9664.0,1.0,217.34444,21.0,27.571428571428573,53.857142857142854,1012.8571428571429
2012-04-29,13652,13652.0,13652,9664.0,0.32353157,202.31734,21.285714285714285,28.571428571428573,48.285714285714285,1009.7142857142857
2012-05-06,13146,13146.0,13146,9664.0,1.0507688e-09,194.81862,19.142857142857142,25.0,55.42857142857143,1017.4285714285714
2012-05-13,11378,11378.0,11378,9664.0,0.0,168.61754,19.571428571428573,27.857142857142858,41.0,883.8571428571429
2012-05-20,10175,10175.0,10175,9664.0,0.0,150.78955,17.285714285714285,24.285714285714285,54.857142857142854,1017.7142857142857
2012-05-27,8044,8044.0,8044,8044.0,0.0,119.20896,18.285714285714285,27.0,45.285714285714285,1015.5714285714286
2012-06-03,5264,5264.0,5264,5264.0,0.0,78.01044,21.142857142857142,29.428571428571427,41.714285714285715,1013.0
2012-06-10,4217,4217.0,4217,4217.0,0.0,62.494305,20.428571428571427,25.285714285714285,64.71428571428571,883.8571428571429
2012-06-17,2751,2751.0,2751,2751.0,0.0,40.768753,19.285714285714285,26.714285714285715,49.142857142857146,1015.7142857142857
2012-06-24,1861,1861.0,1861,1861.0,0.0,27.579298,20.142857142857142,26.571428571428573,54.42857142857143,1012.7142857142857
2012-07-01,1304,1304.0,1304,1304.0,0.0,19.324774,17.714285714285715,27.0,46.857142857142854,1019.1428571428571
2012-07-08,864,864.0,864,864.0,0.0,12.804145,17.714285714285715,28.285714285714285,36.142857142857146,1014.8571428571429
2012-07-15,661,661.0,661,661.0,0.0,9.795764,17.285714285714285,23.857142857142858,49.285714285714285,1014.4285714285714
2012-07-22,489,489.0,489,489.0,0.0,7.2467904,16.714285714285715,23.857142857142858,52.42857142857143,1017.2857142857143
2012-07-29,542,542.0,542,542.0,3.834053e-06,8.032229,18.571428571428573,29.0,41.285714285714285,1014.8571428571429
2012-08-05,466,466.0,466,466.0,0.0011158433,6.905939,18.571428571428573,28.0,40.142857142857146,886.8571428571429
2012-08-12,493,493.0,493,493.0,0.2577721,7.306069,16.142857142857142,26.714285714285715,34.57142857142857,1019.4285714285714
2012-08-19,402,402.0,402,402.0,0.002050227,5.9574842,17.571428571428573,27.714285714285715,39.857142857142854,1023.0
2012-08-26,301,301.0,301,301.0,1.03179e-08,4.4607034,16.857142857142858,28.142857142857142,31.571428571428573,1020.5714285714286
2012-09-02,218,218.0,218,218.0,6.437073e-13,3.2306755,17.714285714285715,25.428571428571427,40.142857142857146,1017.8571428571429
2012-09-09,248,248.0,248,248.0,0.0032695786,3.675264,17.857142857142858,29.142857142857142,33.0,1017.5714285714286
2012-09-16,241,241.0,241,241.0,0.23955552,3.5715265,20.142857142857142,28.428571428571427,46.0,1013.7142857142857
2012-09-23,188,188.0,188,188.0,0.0073592593,2.786087,21.0,30.857142857142858,32.42857142857143,880.4285714285714
2012-09-30,205,205.0,205,205.0,0.15705313,3.0380204,16.285714285714285,24.857142857142858,34.285714285714285,887.2857142857143
2012-10-07,192,192.0,192,192.0,0.21611315,2.8453655,19.142857142857142,30.714285714285715,30.0,1013.0
2012-10-14,232,232.0,232,232.0,0.9359797,3.43815,20.428571428571427,28.857142857142858,38.57142857142857,1013.4285714285714
2012-10-21,247,247.0,247,247.0,0.97021,3.6604443,20.142857142857142,29.428571428571427,38.0,1011.1428571428571
2012-10-28,226,226.0,226,226.0,0.557924,3.3492322,23.142857142857142,30.714285714285715,48.57142857142857,1008.0
2012-11-04,223,223.0,223,223.0,0.3245897,3.3047736,22.857142857142858,28.714285714285715,53.0,1008.2857142857143
2012-11-11,194,194.0,194,194.0,0.0498131,2.8750048,22.428571428571427,29.142857142857142,50.42857142857143,1009.5714285714286
2012-11-18,216,216.0,216,216.0,0.48764133,3.2010362,20.0,24.857142857142858,57.857142857142854,1011.7142857142857
2012-11-25,297,297.0,297,297.0,0.999905,4.401425,21.428571428571427,29.714285714285715,47.857142857142854,1009.0
2012-12-02,328,328.0,328,328.0,0.9999512,4.8608327,21.857142857142858,28.714285714285715,54.42857142857143,1010.0
2012-12-09,383,383.0,383,383.0,0.9999547,5.6759114,24.142857142857142,33.142857142857146,40.142857142857146,1008.1428571428571
2012-12-16,361,361.0,361,361.0,0.89977014,5.3498797,24.142857142857142,32.857142857142854,40.142857142857146,1005.1428571428571
2012-12-23,446,446.0,446,446.0,0.9986977,6.609547,25.142857142857142,32.857142857142854,43.57142857142857,1008.1428571428571
2012-12-30,539,539.0,539,539.0,0.9999992,7.987771,25.428571428571427,35.42857142857143,32.857142857142854,1008.1428571428571
2013-01-06,860,860.0,860,860.0,1.0,12.744866,24.142857142857142,32.0,35.714285714285715,1011.0
2013-01-13,920,920.0,920,920.0,1.0,13.634043,22.714285714285715,30.571428571428573,49.857142857142854,1009.0
2013-01-20,1148,1148.0,1148,1148.0,1.0,17.012915,19.714285714285715,30.0,38.0,878.4285714285714
2013-01-27,1351,1351.0,1351,1351.0,1.0,20.021296,22.714285714285715,29.714285714285715,54.285714285714285,1010.0
2013-02-03,1355,1355.0,1355,1355.0,0.999997,20.080574,23.285714285714285,29.857142857142858,51.714285714285715,1011.5714285714286
2013-02-10,1769,1769.0,1769,1769.0,1.0,26.215893,23.0,29.428571428571427,58.714285714285715,1010.8571428571429
2013-02-17,3236,3236.0,3236,3236.0,1.0,47.956264,25.428571428571427,35.714285714285715,32.714285714285715,1008.0
2013-02-24,3836,3836.0,3836,3836.0,1.0,56.84803,24.714285714285715,34.42857142857143,36.0,1010.0
2013-03-03,3994,3994.0,3994,3994.0,1.0,59.18953,22.714285714285715,30.571428571428573,45.142857142857146,1011.4285714285714
2013-03-10,5357,5357.0,5357,5357.0,1.0,79.388664,24.714285714285715,34.42857142857143,40.142857142857146,1008.2857142857143
2013-03-17,5424,5424.0,5424,5424.0,1.0,80.38158,24.142857142857142,31.142857142857142,54.285714285714285,1009.0
2013-03-24,5358,5358.0,5358,5358.0,0.99998933,79.40348,22.571428571428573,28.428571428571427,51.285714285714285,881.0
2013-03-31,6633,6633.0,6633,6633.0,1.0,98.298485,22.285714285714285,28.0,55.42857142857143,1013.0
2013-04-07,6552,6552.0,6552,6552.0,1.0,97.0981,23.142857142857142,29.428571428571427,56.285714285714285,1010.8571428571429
2013-04-14,5515,5515.0,5515,5515.0,2.9880562e-09,81.73016,22.285714285714285,28.571428571428573,52.857142857142854,882.1428571428571
2013-04-21,3922,3922.0,3922,3922.0,0.0,58.122517,20.142857142857142,26.857142857142858,45.57142857142857,1014.5714285714286
2013-04-28,2761,2761.0,2761,2761.0,0.0,40.91695,18.714285714285715,27.571428571428573,39.857142857142854,1017.7142857142857
2013-05-05,2267,2267.0,2267,2267.0,0.0,33.59606,20.571428571428573,30.285714285714285,40.285714285714285,1012.2857142857143
2013-05-12,1633,1633.0,1633,1633.0,0.0,24.200426,17.142857142857142,25.714285714285715,40.142857142857146,885.8571428571429
2013-05-19,1231,1231.0,1231,1231.0,0.0,18.242943,19.428571428571427,28.142857142857142,44.42857142857143,885.1428571428571
2013-05-26,791,791.0,791,791.0,0.0,11.722313,19.571428571428573,25.714285714285715,50.714285714285715,1014.1428571428571
2013-06-02,599,599.0,599,599.0,0.0,8.876947,18.857142857142858,27.571428571428573,48.57142857142857,1011.2857142857143
2013-06-09,480,480.0,480,480.0,0.0,7.113414,19.285714285714285,26.285714285714285,56.142857142857146,886.4285714285714
2013-06-16,395,395.0,395,395.0,6.4392935e-15,5.853747,19.0,27.428571428571427,47.0,1016.1428571428571
2013-06-23,273,273.0,273,273.0,3.330669e-16,4.045754,19.428571428571427,26.857142857142858,50.0,1013.2857142857143
2013-06-30,220,220.0,220,220.0,3.6604053e-12,3.2603147,19.571428571428573,27.142857142857142,51.285714285714285,1014.0
2013-07-07,188,188.0,188,188.0,3.5849942e-07,2.786087,16.571428571428573,25.428571428571427,48.57142857142857,887.4285714285714
2013-07-14,158,158.0,158,158.0,9.424569e-05,2.3414986,16.285714285714285,25.857142857142858,44.42857142857143,1019.1428571428571
2013-07-21,85,85.0,85,85.0,1.4663959e-10,1.259667,19.428571428571427,29.285714285714285,38.714285714285715,1012.0
2013-07-28,98,98.0,98,98.0,0.000744259,1.452322,16.0,21.571428571428573,55.285714285714285,1019.1428571428571
2013-08-04,72,72.0,72,72.0,0.0018995666,1.0670121,15.428571428571429,28.0,31.714285714285715,1016.4285714285714
2013-08-11,58,58.0,58,58.0,0.004403629,0.8595375,18.571428571428573,27.571428571428573,41.857142857142854,883.1428571428571
2013-08-18,72,72.0,72,72.0,0.38087994,1.0670121,17.285714285714285,24.428571428571427,49.857142857142854,1017.5714285714286
2013-08-25,57,57.0,57,57.0,0.18948138,0.84471786,18.428571428571427,28.428571428571427,37.285714285714285,1016.7142857142857
2013-09-01,59,59.0,59,59.0,0.32327327,0.8743571,16.285714285714285,25.714285714285715,43.0,1017.0
2013-09-08,77,77.0,77,77.0,0.89832413,1.1411102,18.142857142857142,26.857142857142858,41.57142857142857,886.0
2013-09-15,54,54.0,54,54.0,0.20094757,0.80025905,18.857142857142858,30.571428571428573,31.428571428571427,1016.1428571428571
2013-09-22,73,73.0,73,73.0,0.7413513,1.0818317,21.714285714285715,30.857142857142858,37.57142857142857,1010.5714285714286
2013-09-29,60,60.0,60,60.0,0.34201434,0.8891767,18.714285714285715,24.714285714285715,44.285714285714285,1014.2857142857143
