,casos_2312908,casos_est_2312908,casos_est_min_2312908,casos_est_max_2312908,p_rt1_2312908,p_inc100k_2312908,temp_min_2312908,temp_max_2312908,umid_min_2312908,pressao_min_2312908,casos_2300507,casos_est_2300507,casos_est_min_2300507,casos_est_max_2300507,p_rt1_2300507,p_inc100k_2300507,temp_min_2300507,temp_max_2300507,umid_min_2300507,pressao_min_2300507,casos_2305902,casos_est_2305902,casos_est_min_2305902,casos_est_max_2305902,p_rt1_2305902,p_inc100k_2305902,temp_min_2305902,temp_max_2305902,umid_min_2305902,pressao_min_2305902
2010-07-25,1,1.0,1,1,0.050017938,0.4909614,23.428571428571427,30.142857142857142,49.857142857142854,1012.4285714285714,0,0.0,0,0,0.5,0.0,23.428571428571427,30.142857142857142,49.857142857142854,1012.4285714285714,0,0.0,0,0,0.0,0.0,23.428571428571427,30.142857142857142,49.857142857142854,1012.4285714285714
2010-08-01,4,4.0,4,4,0.5483402,1.9638456,22.857142857142858,30.0,48.285714285714285,1009.8571428571429,0,0.0,0,0,0.5,0.0,22.857142857142858,30.0,48.285714285714285,1009.8571428571429,0,0.0,0,0,0.0,0.0,22.857142857142858,30.0,48.285714285714285,1009.8571428571429
2010-08-08,1,1.0,1,1,0.15110803,0.4909614,23.142857142857142,29.857142857142858,45.714285714285715,1011.1428571428571,0,0.0,0,0,0.5,0.0,23.142857142857142,29.857142857142858,45.714285714285715,1011.1428571428571,0,0.0,0,0,0.0,0.0,23.142857142857142,29.857142857142858,45.714285714285715,1011.1428571428571
2010-08-15,2,2.0,2,2,0.41090193,0.9819228,22.714285714285715,30.142857142857142,40.714285714285715,1012.0,0,0.0,0,0,0.5,0.0,22.714285714285715,30.142857142857142,40.714285714285715,1012.0,0,0.0,0,0,0.0,0.0,22.714285714285715,30.142857142857142,40.714285714285715,1012.0
2010-08-22,4,4.0,4,4,0.7918125,1.9638456,23.285714285714285,30.285714285714285,44.714285714285715,1011.2857142857143,0,0.0,0,0,0.5,0.0,23.285714285714285,30.285714285714285,44.714285714285715,1011.2857142857143,0,0.0,0,0,0.0,0.0,23.285714285714285,30.285714285714285,44.714285714285715,1011.2857142857143
2010-08-29,4,4.0,4,4,0.7448118,1.9638456,23.285714285714285,29.857142857142858,50.714285714285715,1010.1428571428571,0,0.0,0,0,0.5,0.0,23.285714285714285,29.857142857142858,50.714285714285715,1010.1428571428571,0,0.0,0,0,0.0,0.0,23.285714285714285,29.857142857142858,50.714285714285715,1010.1428571428571
2010-09-05,6,6.0,6,6,0.8095946,2.9457684,23.0,29.571428571428573,45.142857142857146,1010.7142857142857,0,0.0,0,0,0.5,0.0,23.0,29.571428571428573,45.142857142857146,1010.7142857142857,0,0.0,0,0,0.0,0.0,23.0,29.571428571428573,45.142857142857146,1010.7142857142857
2010-09-12,6,6.0,6,6,0.69125193,2.9457684,23.0,29.571428571428573,42.857142857142854,1010.8571428571429,0,0.0,0,0,0.5,0.0,23.0,29.571428571428573,42.857142857142854,1010.8571428571429,0,0.0,0,0,0.0,0.0,23.0,29.571428571428573,42.857142857142854,1010.8571428571429
2010-09-19,3,3.0,3,3,0.20754434,1.4728842,23.285714285714285,30.0,44.285714285714285,1009.4285714285714,0,0.0,0,0,0.5,0.0,23.285714285714285,30.0,44.285714285714285,1009.4285714285714,0,0.0,0,0,0.0,0.0,23.285714285714285,30.0,44.285714285714285,1009.4285714285714
2010-09-26,10,10.0,10,10,0.89104176,4.909614,23.428571428571427,30.0,45.285714285714285,1009.1428571428571,0,0.0,0,0,0.5,0.0,23.428571428571427,30.0,45.285714285714285,1009.1428571428571,0,0.0,0,0,0.0,0.0,23.428571428571427,30.0,45.285714285714285,1009.1428571428571
